Date,Open,High,Low,Close,Volume,OpenInt
1983-03-21,8.97,9.03,8.81,9,528000,0
1983-03-22,8.72,8.97,8.5,8.5,332400,0
1983-03-23,8.5,8.81,8.47,8.72,442400,0
1983-03-24,8.72,8.78,8.66,8.78,412000,0
1983-03-25,8.91,9.06,8.75,8.88,216400,0
1983-03-28,8.85,9.03,8.66,8.69,503200,0
1983-03-29,8.6,8.85,8.35,8.44,788000,0
1983-03-30,8.66,8.81,8.47,8.75,426800,0
1983-03-31,9,9.56,8.31,8.38,643600,0
1983-04-04,8.25,8.35,8,8.28,778800,0
1983-04-05,8.25,8.47,8.16,8.16,605600,0
1983-04-06,7.97,8.06,7.81,7.88,1033200,0
1983-04-07,7.84,7.94,7.75,7.94,888800,0
1983-04-08,8.03,8.16,7.88,8.16,510000,0
1983-04-11,8.28,8.47,8.22,8.41,732400,0
1983-04-12,8.41,8.53,8.38,8.44,736400,0
1983-04-13,8.85,9.19,8.56,8.97,1889200,0
1983-04-14,9.03,9.44,9.03,9.44,1137600,0
1983-04-15,9.44,9.53,9.35,9.41,796800,0
1983-04-18,9.37,9.47,9.19,9.25,764400,0
1983-04-19,9.19,9.25,9,9.1,367600,0
1983-04-20,9.38,9.62,9.12,9.62,1010000,0
1983-04-21,9.5,9.72,9.47,9.47,530000,0
1983-04-22,9.41,9.41,9.22,9.25,372000,0
1983-04-25,9.06,9.31,8.81,8.88,678000,0
1983-04-26,9.16,9.44,8.88,9.44,4800,0
1983-04-27,9.41,9.53,9.25,9.38,366400,0
1983-04-28,9.35,9.44,9.25,9.31,282000,0
1983-04-29,9.41,9.5,9.31,9.5,226800,0
1983-05-02,9.41,9.5,9.28,9.38,553200,0
1983-05-03,9.38,9.91,9.38,9.85,505200,0
1983-05-04,10.22,10.5,9.94,10.47,992000,0
1983-05-05,10.85,11.06,10.62,10.97,1370000,0
1983-05-06,11,11.6,10.94,11.47,784400,0
1983-05-09,11.25,11.38,11.16,11.31,807600,0
1983-05-10,11.31,11.44,11.31,11.44,888000,0
1983-05-11,11.38,11.44,11.25,11.28,376800,0
1983-05-12,11.25,11.28,10.88,10.97,399200,0
1983-05-13,10.97,11.6,10.97,11.53,407600,0
1983-05-16,11.41,11.47,11.25,11.31,603600,0
1983-05-17,11.38,11.47,11.25,11.31,326800,0
1983-05-18,11.25,11.47,11.25,11.35,452000,0
1983-05-19,11.28,11.38,11.12,11.19,411200,0
1983-05-20,11.38,11.75,11.38,11.75,626800,0
1983-05-23,11.97,12,11.72,11.97,458800,0
1983-05-24,12.12,12.66,12.06,12.6,971200,0
1983-05-25,12.97,13.25,12.88,13.1,1002000,0
1983-05-26,13.1,13.1,12.44,12.5,958000,0
1983-05-27,12.53,12.6,12.31,12.41,338000,0
1983-05-31,12.12,12.22,12.1,12.12,525600,0
1983-06-01,12.16,12.62,12.16,12.62,848000,0
1983-06-02,12.72,13.12,12.53,13.1,612400,0
1983-06-03,13.12,13.5,13.1,13.41,546800,0
1983-06-06,13.38,13.66,13.28,13.62,570000,0
1983-06-07,13.56,13.62,13.22,13.22,460800,0
1983-06-08,13.06,13.28,13.03,13.19,460000,0
1983-06-09,13.19,13.25,12.97,13.1,260000,0
1983-06-10,13.12,13.25,13.06,13.06,97600,0
1983-06-13,13.12,13.16,12.75,12.91,214400,0
1983-06-14,12.85,12.94,12.66,12.66,206400,0
1983-06-15,12.66,13.06,12.6,13.06,318800,0
1983-06-16,13.25,13.81,13.25,13.66,299200,0
1983-06-17,13.69,13.78,13.53,13.66,125600,0
1983-06-20,13.62,13.66,13.41,13.47,189200,0
1983-06-21,13.5,13.56,13.1,13.5,341200,0
1983-06-22,14.72,14.81,14.6,14.66,1052400,0
1983-06-23,14.75,16.66,14.69,15.81,1124400,0
1983-06-24,15.88,16.06,15.5,16.06,684800,0
1983-06-27,16.06,16.22,15.38,16.12,598800,0
1983-06-28,16.12,16.62,15.25,15.25,1044400,0
1983-06-29,15.56,15.88,15.25,15.85,1026400,0
1983-06-30,15.94,16.22,15.91,16.12,628800,0
1983-07-01,16.19,16.19,15.91,16.16,187600,0
1983-07-05,15.94,15.94,15.47,15.78,489200,0
1983-07-06,15.72,15.94,15.66,15.91,348000,0
1983-07-07,15.91,16.19,15.78,16.06,287600,0
1983-07-08,16.06,16.12,15.88,15.88,517600,0
1983-07-11,15.81,16.22,15.81,16.22,470800,0
1983-07-12,16.28,16.41,15.81,15.91,362400,0
1983-07-13,15.69,15.75,14.78,15.44,545600,0
1983-07-14,15.44,15.48,14.72,14.75,761200,0
1983-07-15,14.75,14.81,14.25,14.44,426800,0
1983-07-18,14.31,14.31,13.94,14.03,564400,0
1983-07-19,14.19,14.81,14.19,14.72,447600,0
1983-07-20,15.06,15.75,15,15.75,410800,0
1983-07-21,16.5,17.44,16.41,16.97,1469200,0
1983-07-22,16.51,16.91,16.12,16.28,488800,0
1983-07-25,16.16,16.47,16.12,16.47,296400,0
1983-07-26,16.47,16.84,16.41,16.56,520800,0
1983-07-27,16.66,16.69,15.85,15.97,450000,0
1983-07-28,15.91,15.94,14.78,14.85,378000,0
1983-07-29,14.6,14.88,14.53,14.88,579200,0
1983-08-01,14.75,15.22,14.75,15,751200,0
1983-08-02,15,15.12,14.66,14.66,240000,0
1983-08-03,14.69,14.78,14.38,14.5,620800,0
1983-08-04,14.56,14.56,13.94,14.19,339200,0
1983-08-05,14.25,14.41,14,14.19,419200,0
1983-08-08,14.1,14.1,13.88,14,246400,0
1983-08-09,13.88,13.94,13.03,13.38,1136800,0
1983-08-10,13.38,13.62,13.16,13.41,684800,0
1983-08-11,13.53,14.06,13.53,14,608800,0
1983-08-12,14.1,14.35,14.1,14.19,278800,0
1983-08-15,14.25,14.53,14.25,14.28,403200,0
1983-08-16,14.35,14.35,13.31,13.47,1093200,0
1983-08-17,13.5,13.6,13.28,13.53,340800,0
1983-08-18,13.56,13.62,13.31,13.31,208000,0
1983-08-19,13.31,13.69,13,13.69,415200,0
1983-08-22,13.94,14.1,12.85,12.97,619200,0
1983-08-23,13.12,13.94,13.12,13.75,343400,0
1983-08-24,13.88,14.44,13.31,13.5,580600,0
1983-08-25,13.62,14,13.31,13.69,339000,0
1983-08-26,13.88,14.81,13.75,14.62,484000,0
1983-08-29,14.38,15.38,14.12,15.38,627800,0
1983-08-30,15.38,15.62,15.06,15.31,569000,0
1983-08-31,15.25,15.88,15.12,15.88,613800,0
1983-09-01,16,16,15.25,15.44,461200,0
1983-09-02,15.44,16,15.44,16,443400,0
1983-09-06,16.5,16.94,16.25,16.44,885600,0
1983-09-07,16.44,16.5,15.81,16,591800,0
1983-09-08,16,16.38,15.62,16,563800,0
1983-09-09,16.07,16.07,15,15.19,612200,0
1983-09-12,15.88,15.88,14.56,14.62,675000,0
1983-09-13,14.5,14.75,14,14.69,941000,0
1983-09-14,14.44,14.69,14.25,14.38,504000,0
1983-09-15,14.38,15.12,14,14.88,687600,0
1983-09-16,14.81,15.56,14.81,15.25,395400,0
1983-09-19,15.44,16.19,15.31,16,419000,0
1983-09-20,16,16.38,15.69,15.75,468200,0
1983-09-21,15.75,15.88,15.62,15.75,469400,0
1983-09-22,15.81,16.25,15.75,16.12,1004000,0
1983-09-23,16.07,16.07,14.81,15.38,745600,0
1983-09-26,15.56,15.56,14.62,15,950600,0
1983-09-27,14.94,15.31,14.88,15.06,850600,0
1983-09-28,15.06,15.94,15.06,15.88,658200,0
1983-09-29,16.12,16.38,15.31,15.31,648400,0
1983-09-30,15.5,15.56,14.5,14.5,541000,0
1983-10-03,14.62,15,14.56,15,461800,0
1983-10-04,15.19,15.5,14.75,15.44,801600,0
1983-10-05,15.38,15.56,15.38,15.56,880400,0
1983-10-06,15.69,16.12,15.62,16.07,620600,0
1983-10-07,16.32,16.32,16.32,16.32,1586200,0
1983-10-10,16.12,16.82,16.07,16.82,830400,0
1983-10-11,16.32,16.62,15.81,15.81,752600,0
1983-10-12,15.81,16.19,15.5,15.62,401800,0
1983-10-13,15.69,15.88,15.5,15.81,407200,0
1983-10-14,15.88,16,15.69,16,213800,0
1983-10-17,16.25,16.57,16,16.44,553800,0
1983-10-18,16.32,16.5,15,15.06,524600,0
1983-10-19,14,15.12,14,15.06,2046200,0
1983-10-20,15.25,15.44,15.12,15.19,573800,0
1983-10-21,15.31,15.31,14.5,14.75,402400,0
1983-10-24,14.56,15.75,14.44,15.62,790000,0
1983-10-25,15.75,16.25,15.44,15.62,606600,0
1983-10-26,15.81,15.94,15.25,15.25,276000,0
1983-10-27,15.12,15.38,15.06,15.31,322400,0
1983-10-28,15.62,16.25,15.38,15.5,826000,0
1983-10-31,15.69,15.69,14.88,15,501200,0
1983-11-01,14.88,15,14.5,14.81,681000,0
1983-11-02,15,15.38,15,15.12,434600,0
1983-11-03,15,15.12,14.56,14.69,366200,0
1983-11-04,14.62,14.81,14.56,14.62,251000,0
